from,to,org_slug,reason
/AAIB,/government/organisations/air-accidents-investigation-branch,air-accidents-investigation-branch,Organisation short url imported from router-data
/aaib,/government/organisations/air-accidents-investigation-branch,air-accidents-investigation-branch,Organisation short url imported from router-data
/ACCEA,/government/organisations/advisory-committee-on-clinical-excellence-awards,advisory-committee-on-clinical-excellence-awards,Organisation short url imported from router-data
/accea,/government/organisations/advisory-committee-on-clinical-excellence-awards,advisory-committee-on-clinical-excellence-awards,Organisation short url imported from router-data
/ACCO,/government/organisations/advisory-committee-on-conscientious-objectors,advisory-committee-on-conscientious-objectors,Organisation short url imported from router-data
/acco,/government/organisations/advisory-committee-on-conscientious-objectors,advisory-committee-on-conscientious-objectors,Organisation short url imported from router-data
/ACJP,/government/organisations/advisory-committees-on-justices-of-the-peace,advisory-committees-on-justices-of-the-peace,Organisation short url imported from router-data
/acjp,/government/organisations/advisory-committees-on-justices-of-the-peace,advisory-committees-on-justices-of-the-peace,Organisation short url imported from router-data
/ACMD,/government/organisations/advisory-council-on-the-misuse-of-drugs,advisory-council-on-the-misuse-of-drugs,Organisation short url imported from router-data
/acmd,/government/organisations/advisory-council-on-the-misuse-of-drugs,advisory-council-on-the-misuse-of-drugs,Organisation short url imported from router-data
/ACOBA,/government/organisations/advisory-committee-on-business-appointments,advisory-committee-on-business-appointments,Organisation short url imported from router-data
/acoba,/government/organisations/advisory-committee-on-business-appointments,advisory-committee-on-business-appointments,Organisation short url imported from router-data
/ACRE,/government/organisations/advisory-committee-on-releases-to-the-environment,advisory-committee-on-releases-to-the-environment,Organisation short url imported from router-data
/acre,/government/organisations/advisory-committee-on-releases-to-the-environment,advisory-committee-on-releases-to-the-environment,Organisation short url imported from router-data
/adjudicators-office,/government/organisations/the-adjudicator-s-office,the-adjudicator-s-office,Organisation short url imported from router-data
/AFPRB,/government/organisations/armed-forces-pay-review-body,armed-forces-pay-review-body,Organisation short url imported from router-data
/afprb,/government/organisations/armed-forces-pay-review-body,armed-forces-pay-review-body,Organisation short url imported from router-data
/AGMM,/government/organisations/advisory-group-on-military-medicine,advisory-group-on-military-medicine,Organisation short url imported from router-data
/agmm,/government/organisations/advisory-group-on-military-medicine,advisory-group-on-military-medicine,Organisation short url imported from router-data
/AGO,/government/organisations/attorney-generals-office,attorney-generals-office,Organisation short url imported from router-data
/ago,/government/organisations/attorney-generals-office,attorney-generals-office,Organisation short url imported from router-data
/AHVLA,/government/organisations/animal-health-and-veterinary-laboratories-agency,animal-health-and-veterinary-laboratories-agency,Organisation short url imported from router-data
/ahvla,/government/organisations/animal-health-and-veterinary-laboratories-agency,animal-health-and-veterinary-laboratories-agency,Organisation short url imported from router-data
/airports-commission,/government/organisations/airports-commission,airports-commission,Organisation short url imported from router-data
/ALT,/government/organisations/hm-courts-and-tribunals-service,hm-courts-and-tribunals-service,Organisation short url imported from router-data
/alt,/government/organisations/hm-courts-and-tribunals-service,hm-courts-and-tribunals-service,Organisation short url imported from router-data
/animals-in-science-committee,/government/organisations/animals-in-science-committee,animals-in-science-committee,Organisation short url imported from router-data
